station,valid,tmpf,dwpf,relh,sknt,ceiling
PAFA,2/16/2024 1:53,16,8,70.18,5,23000
PAFA,2/16/2024 0:53,20,11,67.58,5,23000
PAFA,2/15/2024 23:53,21,11,64.77,5,23000
PAFA,7/10/2024 18:53,67,50,54.35,5,23000
PAFA,4/16/2024 21:53,45,20,36.55,5,23000
PAFA,10/16/2023 16:53,26,21,81.09,3,23000
PAFA,2/15/2024 22:53,26,11,52.52,3,23000
PAFA,10/6/2024 22:53,50,29,44.1,3,23000
PAFA,2/16/2024 2:53,16,11,80.27,0,23000
PAFA,1/19/2025 13:53,13,8,80.02,0,23000
PAFA,2/16/2024 3:53,11,6,79.85,0,23000
PAFA,1/19/2025 14:53,12,6,76.38,0,23000
PAFA,2/22/2025 20:53,2,-4,75.36,0,23000
PAFA,2/22/2025 19:53,-1,-7,75.04,0,23000
PAFA,1/23/2024 22:12,-26,-35,61.04,0,23000
PAFA,4/16/2024 18:53,36,21,54.08,0,23000
PAFA,4/16/2024 19:53,40,22,48.22,0,23000
PAFA,4/16/2024 20:53,45,18,33.55,0,23000
PAFA,11/11/2024 11:53,-6,-12,74.5,0,23000
PAFA,11/11/2024 12:53,-6,-12,74.5,0,23000
PAFA,12/24/2023 3:53,5,-1,75.67,0,23000
PAFA,7/3/2023 17:53,70,45,40.63,4,23000
PAFA,12/11/2024 23:53,16,11,80.27,3,23000
PAFA,4/18/2024 23:53,55,18,23.13,3,23000
PAFA,4/18/2024 22:53,56,15,19.59,3,23000
PAFA,4/19/2024 0:53,56,15,19.59,3,23000
PAFA,8/27/2023 0:53,69,55,60.99,6,23000
PAFA,6/27/2023 20:53,67,43,41.87,6,23000
PAFA,6/27/2023 21:53,67,43,41.87,5,23000
PAFA,6/27/2023 22:53,70,43,37.64,5,23000
PAFA,8/27/2023 1:53,70,55,58.94,4,23000
PAFA,8/31/2023 18:53,54,46,74.26,10,23000
PAFA,8/31/2023 19:53,56,46,69.05,9,23000
PAFA,8/31/2023 17:53,52,47,82.99,7,23000
PAFA,12/11/2024 21:53,16,11,80.27,0,23000
PAFA,12/11/2024 22:53,14,9,80.1,0,23000
PAFA,9/11/2023 1:53,59,43,55.28,0,23000
PAFA,1/19/2025 0:53,6,1,79.41,6,23000
PAFA,1/19/2025 1:53,4,0,83.04,0,23000
PAFA,2/20/2024 1:53,25,17,71.22,7,23000
PAFA,2/19/2024 23:53,25,16,68.2,5,23000
PAFA,2/20/2024 0:53,25,17,71.22,4,23000
PAFA,12/11/2024 20:53,14,9,80.1,0,23000
PAFA,9/8/2023 19:53,52,40,63.48,4,23000
PAFA,10/4/2024 21:53,54,26,33.63,8,22000
PAFA,5/21/2023 0:53,74,37,26.12,8,22000
PAFA,5/11/2024 22:53,59,17,19.18,7,22000
PAFA,3/26/2023 18:53,18,1,46.68,6,22000
PAFA,10/5/2023 18:53,30,19,63.18,5,22000
PAFA,2/13/2024 21:53,34,20,56.12,5,22000
PAFA,5/12/2024 0:53,57,16,19.73,5,22000
PAFA,5/11/2024 23:53,57,15,18.89,5,22000
PAFA,1/22/2025 17:53,11,6,79.85,4,22000
PAFA,10/14/2023 1:53,31,24,74.97,4,22000
PAFA,2/13/2024 20:53,28,18,65.69,4,22000
PAFA,10/5/2023 19:53,32,20,60.81,4,22000
PAFA,10/6/2024 17:53,30,26,84.85,3,22000
PAFA,3/21/2024 15:53,12,7,79.93,3,22000
PAFA,10/6/2024 16:53,29,26,88.38,0,22000
PAFA,9/16/2023 11:53,44,39,82.44,0,22000
PAFA,8/5/2024 8:53,61,55,80.61,0,22000
PAFA,3/5/2025 11:53,17,12,80.36,0,22000
PAFA,2/18/2025 19:53,11,6,79.85,0,22000
PAFA,2/18/2025 17:53,6,1,79.41,0,22000
PAFA,10/6/2024 19:53,37,31,78.69,0,22000
PAFA,2/22/2025 16:53,-4,-9,78.48,0,22000
PAFA,10/6/2024 18:53,34,28,78.43,0,22000
PAFA,8/5/2024 6:53,65,58,78.06,0,22000
PAFA,2/18/2025 18:53,7,1,75.88,0,22000
PAFA,1/8/2025 18:53,5,-1,75.67,0,22000
PAFA,8/8/2023 18:53,64,56,75.2,0,22000
PAFA,8/5/2024 7:53,64,56,75.2,0,22000
PAFA,2/22/2025 18:53,-3,-9,74.83,0,22000
PAFA,2/22/2025 17:53,-4,-10,74.72,0,22000
PAFA,1/14/2023 20:53,-9,-15,74.16,0,22000
PAFA,1/14/2023 19:53,-14.1,-20,73.96,0,22000
PAFA,2/18/2025 21:53,19,12,73.73,0,22000
PAFA,2/18/2025 20:53,16,9,73.41,0,22000
PAFA,10/6/2024 20:53,40,31,69.97,0,22000
PAFA,2/18/2025 22:53,23,14,67.96,0,22000
PAFA,10/6/2024 21:53,46,31,55.58,0,22000
PAFA,1/13/2025 8:53,35,25,66.57,4,22000
PAFA,11/11/2024 14:53,-7,-13,74.39,3,22000
PAFA,1/13/2025 7:53,35,25,66.57,3,22000
PAFA,2/22/2025 14:53,-3,-8,78.58,0,22000
PAFA,11/11/2024 13:53,-7,-13,74.39,0,22000
PAFA,1/18/2024 21:53,-5,-12,70.99,0,22000
PAFA,10/3/2023 0:53,41,26,54.84,7,22000
PAFA,2/28/2025 20:53,16,5,61.23,3,22000
PAFA,1/8/2025 20:53,5,0,79.32,0,22000
PAFA,7/25/2023 21:53,80,60,50.51,9,22000
PAFA,7/25/2023 20:53,77,60,55.75,8,22000
PAFA,7/25/2023 23:53,83,61,47.47,8,22000
PAFA,7/26/2023 0:53,84,61,45.96,5,22000
PAFA,7/25/2023 22:53,81,60,48.88,4,22000
PAFA,1/8/2025 19:53,5,0,79.32,3,22000
PAFA,7/25/2023 18:53,73,62,68.42,3,22000
PAFA,12/25/2024 19:53,0,-5,78.86,0,22000
PAFA,12/25/2024 20:53,1,-5,75.25,0,22000
PAFA,1/22/2025 18:53,9,5,83.41,3,22000
PAFA,3/22/2024 1:53,40,22,48.22,3,22000
PAFA,12/10/2024 20:53,24,20,84.46,0,22000
PAFA,12/10/2024 21:53,24,20,84.46,0,22000
PAFA,1/22/2025 19:53,8,4,83.34,0,22000
PAFA,12/25/2024 18:53,0,-5,78.86,0,22000
PAFA,3/22/2024 2:53,38,21,49.98,0,22000
PAFA,3/22/2024 0:53,42,19,39.29,0,22000
PAFA,11/16/2023 8:53,13,10,87.54,0,22000
PAFA,5/13/2024 2:53,56,32,39.96,9,22000
PAFA,7/4/2023 20:53,67,40,37.14,9,22000
PAFA,8/8/2023 19:53,66,56,70.14,7,22000
PAFA,1/15/2023 20:53,-2,-8,74.93,4,22000
PAFA,5/13/2024 3:53,55,31,39.8,4,22000
PAFA,11/28/2023 22:53,15,11,83.84,3,22000
PAFA,8/25/2024 5:53,48,42,79.6,0,22000
PAFA,1/19/2025 3:53,5,0,79.32,0,22000
PAFA,1/19/2025 2:53,5,-1,75.67,0,22000
PAFA,5/21/2023 3:53,71,36,27.6,12,22000
PAFA,1/13/2025 1:53,43,26,50.77,9,22000
PAFA,1/6/2025 4:53,1,-7,68.32,8,22000
PAFA,5/5/2024 15:53,47,28,47.36,7,22000
PAFA,6/9/2024 5:53,76,36,23.4,5,22000
PAFA,9/30/2023 3:53,35,27,72.32,0,22000
PAFA,9/30/2023 2:53,41,24,50.46,0,22000
PAFA,9/30/2023 1:53,44,24,44.96,0,22000
PAFA,7/10/2024 20:53,73,50,44.29,9,22000
PAFA,7/10/2024 19:53,71,49,45.66,6,22000
PAFA,7/10/2024 21:53,74,46,36.85,6,22000
PAFA,7/10/2024 22:53,74,46,36.85,3,22000
PAFA,9/8/2023 20:53,54,41,61.32,7,22000
PAFA,9/8/2023 21:53,56,41,57.02,6,22000
PAFA,1/10/2025 21:53,14,8,76.58,5,22000
PAFA,10/16/2023 17:53,25,20,81.01,3,21000
PAFA,1/19/2025 4:53,7,2,79.5,0,21000
PAFA,1/18/2024 20:53,-7,-14,70.74,4,21000
PAFA,12/22/2024 5:53,11,4,72.86,8,21000
PAFA,12/22/2024 6:53,7,1,75.88,6,21000
PAFA,7/10/2023 5:53,70,49,47.06,5,21000
PAFA,7/10/2023 3:53,75,46,35.64,5,21000
PAFA,12/22/2024 7:53,5,-1,75.67,4,21000
PAFA,7/10/2023 1:53,75,47,36.87,4,21000
PAFA,7/10/2023 4:53,73,49,42.51,3,21000
PAFA,7/10/2023 2:53,77,46,33.34,0,21000
PAFA,7/10/2023 7:53,67,45,45.19,8,21000
PAFA,5/5/2024 13:53,42,27,54.99,7,21000
PAFA,5/5/2024 14:53,44,27,50.93,7,21000
PAFA,1/6/2025 5:53,2,-5,71.83,4,21000
PAFA,7/10/2023 6:53,68,48,48.73,4,21000
PAFA,5/5/2024 12:53,42,27,54.99,9,21000
PAFA,2/12/2024 0:53,17,15,91.68,0,21000
PAFA,7/3/2023 4:53,77,50,38.74,7,21000
PAFA,2/12/2024 5:53,9,5,83.41,4,21000
PAFA,9/16/2024 7:19,42,40,92.55,0,21000
PAFA,9/16/2024 6:53,41,39,92.52,0,21000
PAFA,2/12/2024 1:53,16,12,83.91,0,21000
PAFA,3/16/2023 3:53,5,-11.9,44.63,14,20000
PAFA,5/18/2024 2:53,63,34,33.72,13,20000
PAFA,3/26/2025 4:53,33,12,41.27,11,20000
PAFA,8/15/2024 23:53,73,41,31.47,11,20000
PAFA,5/21/2024 20:53,70,31,23.45,11,20000
PAFA,1/17/2023 13:53,5,-2,72.18,10,20000
PAFA,12/24/2024 2:53,15,7,70.06,10,20000
PAFA,1/13/2025 0:53,45,26,47.04,10,20000
PAFA,3/16/2023 4:53,3,-13,46.31,10,20000
PAFA,7/3/2024 5:53,73,48,41.1,10,20000
PAFA,8/15/2024 22:53,70,43,37.64,10,20000
PAFA,10/4/2024 19:53,50,25,37.39,10,20000
PAFA,5/18/2024 3:53,62,34,34.93,10,20000
PAFA,10/4/2024 22:53,56,26,31.27,10,20000
PAFA,6/13/2023 22:53,63,28,26.45,10,20000
PAFA,5/16/2024 0:53,65,26,22.71,10,20000
PAFA,5/16/2024 3:53,62,23,22.26,10,20000
PAFA,10/16/2023 8:53,30,25,81.4,9,20000
PAFA,1/2/2023 14:53,15.1,9,76.34,9,20000
PAFA,1/12/2023 12:53,5,-3,69.16,9,20000
PAFA,3/28/2025 2:53,25,12,57.23,9,20000
PAFA,3/16/2023 5:53,1,-14.1,48.09,9,20000
PAFA,4/26/2023 4:53,36,18,47.58,9,20000
PAFA,4/26/2023 3:53,38,18,44.14,9,20000
PAFA,5/19/2023 7:53,55,30,38.21,9,20000
PAFA,3/26/2025 2:53,38,14,36.96,9,20000
PAFA,5/25/2023 21:53,71,38,29.74,9,20000
PAFA,1/17/2023 15:53,4,-0.9,79.97,8,20000
PAFA,4/4/2025 15:53,32,26,78.25,8,20000
PAFA,3/27/2024 9:53,31,23,71.89,8,20000
PAFA,1/2/2023 19:53,19,10.9,70.22,8,20000
PAFA,1/12/2023 13:53,5,-3,69.16,8,20000
PAFA,2/14/2024 9:53,25,15,65.3,8,20000
PAFA,4/26/2023 13:53,25,12,57.23,8,20000
PAFA,7/3/2024 7:53,66,48,52.22,8,20000
PAFA,6/14/2024 3:53,70,51,50.89,8,20000
PAFA,5/3/2024 9:53,39,21,48.06,8,20000
PAFA,10/4/2024 18:53,46,27,47.2,8,20000
PAFA,3/13/2024 2:53,6,-10,46.84,8,20000
PAFA,6/1/2023 18:53,46,25,43.44,8,20000
PAFA,3/26/2025 3:53,34,13,41.44,8,20000
PAFA,4/28/2023 1:53,46,21,36.72,8,20000
PAFA,4/17/2024 19:53,45,20,36.55,8,20000
PAFA,5/19/2023 4:53,65,30.9,27.85,8,20000
PAFA,6/13/2023 23:53,64,28,25.54,8,20000
PAFA,5/16/2024 4:53,60,23,23.9,8,20000
PAFA,5/15/2024 23:53,65,26,22.71,8,20000
PAFA,1/2/2023 11:53,14,9,80.1,7,20000
PAFA,1/17/2023 12:53,1.9,-3,79.79,7,20000
PAFA,2/20/2025 16:53,4,-1,79.23,7,20000
PAFA,1/17/2023 10:53,0,-5,78.48,7,20000
PAFA,1/17/2023 14:53,5,-0.9,76.03,7,20000
PAFA,1/11/2023 12:53,3,-3,75.82,7,20000
PAFA,1/11/2023 9:53,1.9,-4,75.71,7,20000
PAFA,1/11/2023 11:53,1.9,-4,75.71,7,20000
PAFA,1/2/2023 18:53,15.1,8.1,73.31,7,20000
PAFA,3/19/2025 15:53,2,-5,71.83,7,20000
PAFA,6/21/2024 12:53,56,47,71.7,7,20000
PAFA,12/24/2024 3:53,15,7,70.06,7,20000
PAFA,12/24/2024 9:53,13,5,69.82,7,20000
PAFA,4/14/2023 15:53,6,-2,68.64,7,20000
PAFA,1/5/2024 21:53,-1,-9,68.06,7,20000
PAFA,12/24/2024 8:53,15,6,66.95,7,20000
PAFA,4/17/2024 9:53,31,21,66.07,7,20000
PAFA,1/5/2024 20:53,0,-9,64.93,7,20000
PAFA,3/5/2023 10:53,-6,-15,64.08,7,20000
PAFA,2/21/2025 1:53,18,7,61.52,7,20000
PAFA,7/3/2024 10:53,61,46,57.72,7,20000
PAFA,9/12/2024 2:53,56,41,57.02,7,20000
PAFA,7/3/2024 8:53,64,48,55.99,7,20000
PAFA,6/14/2024 2:53,69,52,54.64,7,20000
PAFA,6/14/2024 4:53,69,52,54.64,7,20000
PAFA,3/13/2024 1:53,7,-9,47.02,7,20000
PAFA,4/17/2024 18:53,43,19,37.81,7,20000
PAFA,9/5/2024 21:53,68,41,37.32,7,20000
PAFA,6/13/2023 20:53,59,30,33.08,7,20000
PAFA,5/20/2023 7:53,66,34,30.37,7,20000
PAFA,5/20/2023 6:53,69,35,28.51,7,20000
PAFA,6/13/2023 21:53,62,28.9,28.33,7,20000
PAFA,5/16/2024 5:53,57,24,27.75,7,20000
PAFA,5/16/2024 23:53,62,27,26.29,7,20000
PAFA,5/19/2024 21:53,69,27,20.61,7,20000
PAFA,9/14/2023 8:53,42,38,85.6,6,20000
PAFA,1/12/2025 8:53,14,10,83.77,6,20000
PAFA,1/3/2023 2:53,5,1,83.12,6,20000
PAFA,1/15/2023 5:53,-2,-6,82.58,6,20000
PAFA,4/4/2025 14:53,29,24,81.32,6,20000
PAFA,8/6/2024 12:53,56,50,80.23,6,20000
PAFA,1/2/2023 13:53,15.1,10,79.84,6,20000
PAFA,1/2/2023 12:53,17.1,10.9,76.2,6,20000
PAFA,1/15/2023 14:53,3,-3,75.82,6,20000
PAFA,2/20/2025 18:53,6,0,75.78,6,20000
PAFA,1/11/2023 8:53,1.9,-4,75.71,6,20000
PAFA,12/25/2024 8:53,-2,-8,74.93,6,20000
PAFA,6/5/2023 12:53,47,39,73.85,6,20000
PAFA,9/12/2024 5:53,47,39,73.57,6,20000
PAFA,8/6/2024 14:53,61,52,72.22,6,20000
PAFA,12/24/2024 10:53,13,5,69.82,6,20000
PAFA,9/12/2024 3:53,51,41,68.48,6,20000
PAFA,1/17/2023 11:53,1,-7,67.99,6,20000
PAFA,4/4/2024 18:53,31,21,66.07,6,20000
PAFA,3/26/2023 7:53,7,-2,65.89,6,20000
PAFA,4/28/2023 14:53,30,19.9,65.66,6,20000
PAFA,1/5/2024 4:53,4,-5,65.49,6,20000
PAFA,9/26/2023 22:53,41,30,64.63,6,20000
PAFA,10/4/2024 17:53,38,27,64.24,6,20000
PAFA,2/21/2025 0:53,17,7,64.23,6,20000
PAFA,11/9/2023 7:53,31,20,63.32,6,20000
PAFA,9/26/2023 21:53,42,30,62.18,6,20000
PAFA,4/19/2024 8:53,36,24,61.37,6,20000
PAFA,3/26/2023 15:53,9,-2,60.21,6,20000
PAFA,3/16/2024 11:53,2,-9,59.15,6,20000
PAFA,7/3/2024 9:53,62,47,57.85,6,20000
PAFA,4/26/2023 12:53,24.1,10.9,56.59,6,20000
PAFA,10/12/2024 3:53,37,23,56.57,6,20000
PAFA,10/12/2024 4:53,36,22,56.42,6,20000
PAFA,5/11/2023 9:53,43,28,55.14,6,20000
PAFA,10/12/2024 2:53,38,23,54.39,6,20000
PAFA,5/3/2024 10:53,37,20,49.82,6,20000
PAFA,6/21/2024 7:53,65,45,48.28,6,20000
PAFA,8/5/2024 0:53,74,53,47.84,6,20000
PAFA,7/3/2024 6:53,70,48,45.5,6,20000
PAFA,9/5/2024 19:53,62,40,44.25,6,20000
PAFA,8/5/2024 2:53,77,52,41.72,6,20000
PAFA,3/29/2024 21:53,42,20,41,6,20000
PAFA,2/14/2024 6:53,39,17,40.5,6,20000
PAFA,4/28/2023 2:53,45,21,38.14,6,20000
PAFA,4/28/2023 0:53,46,21,36.72,6,20000
PAFA,9/5/2024 22:53,69,41,36.06,6,20000
PAFA,8/16/2024 1:53,72,42,33.84,6,20000
PAFA,5/18/2024 4:53,62,33,33.56,6,20000
PAFA,8/16/2024 0:53,73,42,32.71,6,20000
PAFA,8/16/2024 2:53,70,39,32.24,6,20000
PAFA,5/16/2024 21:53,60,25,25.98,6,20000
PAFA,4/17/2024 21:53,50,14,23.37,6,20000
PAFA,9/14/2023 12:53,38,35,88.83,5,20000
PAFA,9/3/2024 7:53,42,38,85.6,5,20000
PAFA,4/4/2024 16:53,22,18,84.33,5,20000
PAFA,10/25/2023 16:53,15,11,83.84,5,20000
PAFA,12/24/2023 15:53,13,9,83.7,5,20000
PAFA,7/12/2024 13:53,56,51,83.26,5,20000
PAFA,7/10/2024 13:53,54,49,83.13,5,20000
PAFA,10/16/2023 13:53,28,23,81.25,5,20000
PAFA,10/3/2023 11:53,27,22,81.17,5,20000
PAFA,10/16/2023 15:53,27,22,81.17,5,20000
PAFA,7/10/2024 14:53,56,50,80.23,5,20000
PAFA,8/2/2023 11:53,55,49,80.15,5,20000
PAFA,1/15/2025 11:53,3,-2,79.14,5,20000
PAFA,1/11/2023 10:53,1,-4,78.95,5,20000
PAFA,1/11/2023 15:53,0,-5,78.48,5,20000
PAFA,4/4/2025 16:53,33,27,78.34,5,20000
PAFA,2/14/2024 16:53,20,14,77.16,5,20000
PAFA,12/27/2023 0:27,-19,-24,76.99,5,20000
PAFA,1/2/2023 20:53,14,8.1,76.92,5,20000
PAFA,2/4/2023 23:53,9,3,76.08,5,20000
PAFA,10/31/2024 16:53,9,3,76.08,5,20000
PAFA,2/4/2023 22:53,10,4,75.83,5,20000
PAFA,1/12/2023 14:53,3,-3,75.82,5,20000
PAFA,4/14/2023 14:53,3,-3,75.82,5,20000
PAFA,1/11/2023 3:53,1.9,-4,75.71,5,20000
PAFA,7/24/2024 14:53,66,58,75.39,5,20000
PAFA,12/5/2023 2:53,-2,-8,74.93,5,20000
PAFA,1/27/2023 16:53,-6,-11.9,74.87,5,20000
PAFA,12/25/2024 7:53,-3,-9,74.83,5,20000
PAFA,3/27/2024 8:53,29,22,74.77,5,20000
PAFA,6/5/2023 13:53,47,39,73.85,5,20000
PAFA,2/14/2024 13:53,20,13,73.84,5,20000
PAFA,3/26/2023 13:53,4,-3,72.74,5,20000
PAFA,12/21/2024 19:53,1,-6,71.71,5,20000
PAFA,12/5/2023 1:53,-1,-8,71.47,5,20000
PAFA,2/14/2024 8:53,22,14,70.88,5,20000
PAFA,12/8/2023 3:53,-7,-14,70.74,5,20000
PAFA,2/15/2024 20:53,17,9,70.3,5,20000
PAFA,2/10/2023 3:53,-9.9,-17,70.02,5,20000
PAFA,4/17/2024 11:53,29,20,68.69,5,20000
PAFA,4/28/2023 12:53,28.9,19.9,68.67,5,20000
PAFA,11/7/2024 21:53,30,20,65.94,5,20000
PAFA,2/14/2024 7:53,28,18,65.69,5,20000
PAFA,4/17/2024 8:53,32,21,63.45,5,20000
PAFA,4/14/2023 16:53,10,0,63.26,5,20000
PAFA,3/26/2023 14:53,8.1,-2,62.7,5,20000
PAFA,4/28/2023 16:53,35,23,60.99,5,20000
PAFA,3/16/2023 16:53,-7,-18,58.01,5,20000
PAFA,3/5/2023 1:53,-0.9,-13,55.56,5,20000
PAFA,6/14/2024 1:53,69,52,54.64,5,20000
PAFA,3/30/2024 19:53,34,19,53.77,5,20000
PAFA,5/3/2023 17:53,39,23,52.3,5,20000
PAFA,2/27/2024 8:53,-1,-15,50.48,5,20000
PAFA,7/28/2023 22:53,79,59,50.36,5,20000
PAFA,9/3/2024 21:53,60,40,47.51,5,20000
PAFA,8/5/2024 1:53,76,54,46.42,5,20000
PAFA,6/28/2024 20:53,75,53,46.27,5,20000
PAFA,6/1/2024 6:53,61,40,45.85,5,20000
PAFA,2/15/2024 21:53,29,10,44.4,5,20000
PAFA,5/18/2024 5:53,59,36,42.08,5,20000
PAFA,4/16/2024 22:53,45,19,35.02,5,20000
PAFA,5/17/2024 20:53,61,32,33.4,5,20000
PAFA,5/16/2024 22:53,60,25,25.98,5,20000
PAFA,4/17/2024 22:53,51,15,23.52,5,20000
PAFA,5/19/2023 3:53,66,27,22.86,5,20000
PAFA,8/5/2024 13:53,53,51,92.89,4,20000
PAFA,1/22/2025 0:53,21,18,87.97,4,20000
PAFA,9/14/2023 6:53,42,38,85.6,4,20000
PAFA,9/3/2024 8:53,42,38,85.6,4,20000
PAFA,12/10/2024 10:53,25,21,84.53,4,20000
PAFA,10/26/2023 3:53,20,16,84.19,4,20000
PAFA,11/16/2023 12:53,9,5,83.41,4,20000
PAFA,9/3/2024 6:53,45,40,82.51,4,20000
PAFA,2/13/2024 12:53,21,16,80.69,4,20000
PAFA,2/13/2024 19:53,19,14,80.52,4,20000
PAFA,11/29/2023 20:53,11,6,79.85,4,20000
PAFA,8/27/2024 6:53,51,45,79.84,4,20000
PAFA,11/30/2023 5:53,9,4,79.67,4,20000
PAFA,3/18/2023 14:53,7,1.9,79.13,4,20000
PAFA,1/11/2023 4:53,-3,-8,78.21,4,20000
PAFA,10/5/2024 15:53,31,25,78.16,4,20000
PAFA,10/29/2023 6:53,18,12,76.97,4,20000
PAFA,12/24/2023 14:53,16,10,76.77,4,20000
PAFA,6/5/2023 11:53,47,40,76.48,4,20000
PAFA,7/27/2023 7:53,70,62,75.75,4,20000
PAFA,1/17/2023 3:53,1.9,-4,75.71,4,20000
PAFA,1/5/2023 2:53,0,-6,75.15,4,20000
PAFA,1/21/2023 4:53,-5,-11,74.97,4,20000
PAFA,1/11/2023 14:53,1,-5,74.89,4,20000
PAFA,1/27/2023 22:53,1,-5,74.89,4,20000
PAFA,4/4/2024 17:53,26,19,74.46,4,20000
PAFA,12/18/2024 23:53,-7,-13,74.39,4,20000
PAFA,6/3/2024 14:53,52,44,74.07,4,20000
PAFA,3/19/2023 9:53,19,12,73.73,4,20000
PAFA,3/18/2023 11:53,10.9,4,72.85,4,20000
PAFA,3/18/2023 18:53,10,3,72.75,4,20000
PAFA,10/17/2023 1:53,37,29,72.54,4,20000
PAFA,8/16/2023 10:53,56,47,71.7,4,20000
PAFA,12/19/2024 2:53,-1,-8,71.47,4,20000
PAFA,1/27/2023 21:53,-0.9,-8,71.14,4,20000
PAFA,12/5/2023 0:53,-5,-12,70.99,4,20000
PAFA,1/19/2023 13:53,-9.9,-17,70.02,4,20000
PAFA,3/22/2024 18:53,26,17,68.32,4,20000
PAFA,7/28/2023 19:53,72,61,68.31,4,20000
PAFA,2/23/2023 2:53,15.1,6,66.96,4,20000
PAFA,4/17/2024 10:53,31,21,66.07,4,20000
PAFA,6/5/2023 14:53,51,40,65.38,4,20000
PAFA,4/4/2024 19:53,32,20,60.81,4,20000
PAFA,2/20/2025 23:53,19,7,58.94,4,20000
PAFA,4/26/2023 14:53,25,12,57.23,4,20000
PAFA,8/3/2023 19:53,69,53,56.69,4,20000
PAFA,6/21/2024 8:53,63,45,51.78,4,20000
PAFA,5/15/2023 12:53,44,27,50.73,4,20000
PAFA,2/27/2024 7:53,0,-14,50.65,4,20000
PAFA,3/13/2024 3:53,4,-11,48.86,4,20000
PAFA,5/15/2023 15:53,47,28,47.54,4,20000
PAFA,3/22/2024 21:53,41,21,44.47,4,20000
PAFA,8/16/2024 3:53,68,41,37.32,4,20000
PAFA,3/22/2024 23:53,46,21,36.72,4,20000
PAFA,5/11/2023 5:53,55,28.9,36.54,4,20000
PAFA,4/28/2023 3:53,45,19.9,36.4,4,20000
PAFA,3/29/2024 23:53,43,18,36.22,4,20000
PAFA,5/17/2024 19:53,60,33,36.03,4,20000
PAFA,6/25/2024 0:53,80,50,35.1,4,20000
PAFA,6/26/2024 21:53,81,50,33.97,4,20000
PAFA,6/26/2024 21:27,80,48,32.57,4,20000
PAFA,4/16/2024 23:53,47,18,31.11,4,20000
PAFA,5/12/2023 23:53,64,30.9,28.74,4,20000
PAFA,4/17/2024 20:53,49,17,27.64,4,20000
PAFA,5/19/2024 19:53,64,24,21.64,4,20000
PAFA,5/19/2024 20:53,65,23,20.04,4,20000
PAFA,12/10/2024 23:53,20,18,91.79,3,20000
PAFA,8/2/2023 10:53,56,53,89.64,3,20000
PAFA,10/16/2023 7:53,27,24,88.28,3,20000
PAFA,11/29/2023 16:53,15,12,87.65,3,20000
PAFA,11/16/2023 9:53,9,6,87.31,3,20000
PAFA,1/15/2024 21:53,-1,-4,86.72,3,20000
PAFA,10/17/2023 3:53,33,29,85.04,3,20000
